time	V(tianoninv)	I(Rf)	Ix(U2:OUT)
4.483853108382651e+00	6.885114e-01	1.377023e-04	-1.801377e-01
4.504779447668365e+00	6.602042e-01	1.320409e-04	-1.801320e-01
4.525705786954079e+00	6.319313e-01	1.263863e-04	-1.801264e-01
4.546632126239794e+00	6.036925e-01	1.207385e-04	-1.801207e-01
4.567558465525508e+00	5.754879e-01	1.150976e-04	-1.801151e-01
4.591274983382651e+00	5.435636e-01	1.087128e-04	-1.801087e-01
4.614991501239794e+00	5.116819e-01	1.023364e-04	-1.801023e-01
4.638708019096937e+00	4.798430e-01	9.596863e-05	-1.800960e-01
4.662424536954079e+00	4.480467e-01	8.960937e-05	-1.800896e-01
4.686141054811222e+00	4.162931e-01	8.325864e-05	-1.800833e-01
4.709857572668366e+00	3.845821e-01	7.691645e-05	-1.800769e-01
4.733574090525508e+00	3.529139e-01	7.058280e-05	-1.800706e-01
4.751710251239794e+00	3.287252e-01	6.574506e-05	-1.800657e-01
4.769846411954079e+00	3.045608e-01	6.091218e-05	-1.800609e-01
4.787982572668365e+00	2.804207e-01	5.608416e-05	-1.800561e-01
4.806118733382651e+00	2.563049e-01	5.126101e-05	-1.800513e-01
4.824254894096937e+00	2.322135e-01	4.644271e-05	-1.800464e-01
4.842391054811222e+00	2.081463e-01	4.162927e-05	-1.800416e-01
4.860527215525508e+00	1.841034e-01	3.682070e-05	-1.800368e-01
4.880058465525508e+00	1.582377e-01	3.164756e-05	-1.800316e-01
4.889824090525508e+00	1.453154e-01	2.906308e-05	-1.800291e-01
4.899589715525508e+00	1.323999e-01	2.647998e-05	-1.800265e-01
4.909355340525508e+00	1.194913e-01	2.389826e-05	-1.800239e-01
4.919120965525508e+00	1.065896e-01	2.131793e-05	-1.800213e-01
4.928886590525508e+00	9.369480e-02	1.873897e-05	-1.800187e-01
4.938652215525508e+00	8.080691e-02	1.616139e-05	-1.800162e-01
4.948417840525508e+00	6.792593e-02	1.358519e-05	-1.800136e-01
5.000000000000000e+00	3.558971e-08	7.117945e-12	-1.800000e-01
5.000017211552323e+00	1.132787e-01	2.265574e-05	-1.800158e-01
5.000051634656969e+00	3.423836e-01	6.847674e-05	-1.800639e-01
5.000120480866260e+00	8.097259e-01	1.619452e-04	-1.801620e-01
5.000258173284841e+00	1.783926e+00	3.567854e-04	-1.803568e-01
5.000533558122005e+00	3.923545e+00	7.847092e-04	-1.807847e-01
5.001000000000000e+00	7.890970e+00	1.578195e-03	-1.815782e-01
5.001017269184157e+00	7.891577e+00	1.578316e-03	-1.814792e-01
5.001051807552470e+00	7.891831e+00	1.578367e-03	-1.814954e-01
5.001120884289096e+00	7.891694e+00	1.578339e-03	-1.815639e-01
5.001259037762347e+00	7.891419e+00	1.578285e-03	-1.815783e-01
5.001535344708850e+00	7.890871e+00	1.578175e-03	-1.815782e-01
5.005403641959888e+00	7.883188e+00	1.576638e-03	-1.815767e-01
5.018666375392018e+00	7.856880e+00	1.571377e-03	-1.815714e-01
5.028432000392018e+00	7.837536e+00	1.567508e-03	-1.815675e-01
5.038197625392018e+00	7.818215e+00	1.563644e-03	-1.815637e-01
5.047963250392018e+00	7.798921e+00	1.559785e-03	-1.815598e-01
5.057728875392018e+00	7.779650e+00	1.555931e-03	-1.815560e-01
5.077260125392018e+00	7.741183e+00	1.548237e-03	-1.815483e-01
5.087025750392018e+00	7.721987e+00	1.544398e-03	-1.815444e-01
5.096791375392018e+00	7.702814e+00	1.540564e-03	-1.815406e-01
